"n","nnodes","pnodes","rates","delta"
355986,3038239,0.0334695,0.0700615,6471.0
356786,3044726,0.0334657,0.070055,6378.5
357586,3050996,0.0334596,0.0700443,6273.5
358386,3057273,0.0334536,0.0700339,6308.0
359186,3063612,0.0334483,0.0700246,6287.0
359986,3069847,0.0334419,0.0700135,6232.0
360786,3076076,0.0334355,0.0700022,6257.5
361586,3082362,0.0334297,0.0699921,6389.5
362386,3088855,0.0334261,0.069986,6388.5
363186,3095139,0.0334203,0.0699759,6354.5
363986,3101564,0.0334161,0.0699685,6425.0
364786,3107989,0.0334119,0.0699612,6258.0
365586,3114080,0.0334041,0.0699476,6066.0
366386,3120121,0.0333958,0.0699332,6243.5
367186,3126567,0.0333919,0.0699264,6294.5
367986,3132710,0.0333848,0.0699139,6237.0
368786,3139041,0.0333797,0.069905,6332.5
369586,3145375,0.0333747,0.0698962,6305.0
370386,3151651,0.033369,0.0698864,6348.5
371186,3158072,0.0333649,0.0698793,6388.0
371986,3164427,0.0333602,0.069871,6288.0
372786,3170648,0.033354,0.0698603,6241.5
373586,3176910,0.0333483,0.0698504,6327.0
374386,3183302,0.033344,0.0698429,6450.0
375186,3189810,0.033341,0.0698375,6439.5
375986,3196181,0.0333365,0.0698297,6322.5
376786,3202455,0.033331,0.0698201,6310.5
377586,3208802,0.0333263,0.0698119,6252.5
378386,3214960,0.0333196,0.0698004,6240.5
379186,3221283,0.0333147,0.0697918,6415.5
379986,3227791,0.0333118,0.0697866,6431.0
380786,3234145,0.0333072,0.0697787,6343.5
381586,3240478,0.0333025,0.0697704,6196.5
382386,3246538,0.0332949,0.0697573,6261.5
383186,3253001,0.0332916,0.0697514,6477.0
383986,3259492,0.0332885,0.0697461,6435.0
384786,3265871,0.0332843,0.0697388,6488.5
385586,3272469,0.0332824,0.0697354,6444.5
386386,3278760,0.0332773,0.0697265,6447.0
387186,3285363,0.0332754,0.0697233,6376.5
387986,3291513,0.033269,0.069712,6260.5
388786,3297884,0.0332648,0.0697047,6215.0
389586,3303943,0.0332575,0.069692,6313.0
390386,3310510,0.0332553,0.0696881,6483.5
391186,3316910,0.0332514,0.0696814,6438.5
391986,3323387,0.0332484,0.0696761,6473.5
392786,3329857,0.0332452,0.0696706,6566.0
393586,3336519,0.033244,0.0696686,6535.5
394386,3342928,0.0332403,0.0696621,6411.5
395186,3349342,0.0332367,0.0696558,6465.5
395986,3355859,0.0332341,0.0696512,6523.5
396786,3362389,0.0332316,0.0696469,6348.0
397586,3368555,0.0332256,0.0696364,6278.0
398386,3374945,0.0332217,0.0696297,6362.5
399186,3381280,0.0332174,0.0696221,6372.0
399986,3387689,0.0332138,0.0696159,6500.0
400786,3394280,0.033212,0.0696127,6418.5
401586,3400526,0.0332068,0.0696037,6219.0
402386,3406718,0.0332012,0.0695938,6216.5
403186,3412959,0.033196,0.0695848,6300.0
403986,3419318,0.033192,0.0695778,6450.0
404786,3425859,0.0331897,0.0695739,6475.5
405586,3432269,0.0331863,0.0695678,6443.5
406386,3438746,0.0331834,0.0695629,6442.5
407186,3445154,0.0331799,0.0695568,6452.0
407986,3451650,0.0331773,0.0695523,6368.0
408786,3457890,0.0331723,0.0695434,6334.0
409586,3464318,0.033169,0.0695378,6330.0
410386,3470550,0.0331639,0.0695289,6127.0
411186,3476572,0.0331568,0.0695165,6138.0
411986,3482826,0.033152,0.069508,6275.5
412786,3489123,0.0331475,0.0695003,6293.5
413586,3495413,0.0331431,0.0694925,6395.5
414386,3501914,0.0331406,0.0694882,6307.5
415186,3508028,0.0331345,0.0694776,6220.0
415986,3514354,0.0331304,0.0694705,6352.0
416786,3520732,0.0331268,0.0694642,6399.5
417586,3527153,0.0331237,0.0694587,6338.0
418386,3533408,0.0331189,0.0694505,6304.0
419186,3539761,0.0331152,0.0694439,6242.0
419986,3545892,0.0331093,0.0694338,6163.5
420786,3552088,0.0331041,0.0694247,6327.5
421586,3558547,0.0331014,0.0694199,6465.0
422386,3565018,0.0330988,0.0694154,6323.5
423186,3571194,0.0330934,0.0694061,6232.5
423986,3577483,0.0330892,0.0693986,6365.5
424786,3583925,0.0330863,0.0693936,6310.5
425586,3590104,0.0330811,0.0693845,6241.5
426386,3596408,0.033077,0.0693774,6412.5
427186,3602929,0.0330749,0.0693737,6475.0
427986,3609358,0.033072,0.0693686,6316.5
428786,3615562,0.033067,0.06936,6152.5
429586,3621663,0.0330611,0.0693497,6453.5
430386,3628469,0.0330617,0.0693507,6527.0
431186,3634717,0.0330572,0.0693428,6237.5
431986,3640944,0.0330525,0.0693347,6297.5
432786,3647312,0.0330491,0.0693287,6305.0
433586,3653554,0.0330446,0.0693209,6347.0
434386,3660006,0.033042,0.0693163,6187.5
435186,3665929,0.0330346,0.0693035,6115.0
435986,3672236,0.0330307,0.0692967,6311.5
436786,3678552,0.0330269,0.0692901,6312.0
437586,3684860,0.0330231,0.0692834,6230.5
438386,3691013,0.0330178,0.0692743,6152.5
439186,3697165,0.0330126,0.0692652,6169.0
439986,3703351,0.0330077,0.0692567,6180.0
440786,3709525,0.0330028,0.069248,6209.0
441586,3715769,0.0329984,0.0692404,6323.5
442386,3722172,0.0329955,0.0692353,6352.5
443186,3728474,0.0329917,0.0692287,6302.0
443986,3734776,0.0329879,0.0692221,6277.5
444786,3741029,0.0329837,0.0692148,6165.0
445586,3747106,0.032978,0.0692048,6047.5
446386,3753124,0.0329718,0.0691939,6164.5
447186,3759435,0.0329681,0.0691876,6130.0
447986,3765384,0.0329613,0.0691757,6027.0
448786,3771489,0.0329559,0.0691663,6050.0
449586,3777484,0.0329496,0.0691552,6039.5
450386,3783568,0.032944,0.0691456,6203.5
451186,3789891,0.0329406,0.0691395,6289.5
451986,3796147,0.0329365,0.0691325,6375.5
452786,3802642,0.0329346,0.0691291,6205.0
453586,3808557,0.0329276,0.069117,6070.5
454386,3814783,0.0329234,0.0691096,6240.0
455186,3821037,0.0329194,0.0691027,6323.0
455986,3827429,0.0329166,0.0690978,6339.0
456786,3833715,0.032913,0.0690914,6368.5
457586,3840166,0.0329107,0.0690875,6214.5
458386,3846144,0.0329044,0.0690765,6088.5
459186,3852343,0.0329,0.0690689,6194.5
459986,3858533,0.0328956,0.0690611,6196.0
460786,3864735,0.0328912,0.0690536,6182.5
