"n","nnodes","pnodes","rate","delta"
280786,3410437,0.0476315,0.0947483,9202.0
281586,3419622,0.0476241,0.0947354,9042.5
282386,3428522,0.0476128,0.0947156,8923.5
283186,3437469,0.0476022,0.0946972,8953.0
283986,3446428,0.0475918,0.0946791,9076.0
284786,3455621,0.0475847,0.0946667,9241.0
285586,3464910,0.047579,0.0946567,9348.0
286386,3474317,0.0475749,0.0946495,9107.5
287186,3483125,0.0475626,0.0946282,8953.0
287986,3492223,0.0475544,0.0946138,9141.5
288786,3501408,0.0475474,0.0946016,9173.0
289586,3510569,0.0475401,0.0945889,9036.0
290386,3519480,0.0475294,0.0945704,9005.0
291186,3528579,0.0475214,0.0945563,9295.5
291986,3538071,0.0475187,0.0945516,9451.0
292786,3547481,0.0475149,0.094545,9241.5
293586,3556554,0.0475066,0.0945305,8981.5
294386,3565444,0.0474959,0.0945119,8983.0
295186,3574520,0.0474878,0.0944977,9140.0
295986,3583724,0.0474814,0.0944866,9184.5
296786,3592889,0.0474745,0.0944746,9078.5
297586,3601881,0.0474653,0.0944586,9120.0
298386,3611129,0.0474596,0.0944487,9332.5
299186,3620546,0.0474562,0.0944426,9328.0
299986,3629785,0.0474504,0.0944326,9254.0
300786,3639054,0.047445,0.0944232,9289.5
301586,3648364,0.0474402,0.0944149,9190.5
302386,3657435,0.0474324,0.0944011,9072.0
303186,3666508,0.0474246,0.0943875,9157.0
303986,3675749,0.047419,0.0943778,9154.5
304786,3684817,0.0474112,0.0943642,9075.5
305586,3693900,0.0474036,0.094351,9118.0
306386,3703053,0.047397,0.0943395,9111.0
307186,3712122,0.0473893,0.0943261,9197.0
307986,3721447,0.047385,0.0943185,9334.5
308786,3730791,0.0473809,0.0943114,9311.0
309586,3740069,0.047376,0.0943028,9169.0
310386,3749129,0.0473683,0.0942895,9021.5
311186,3758112,0.0473598,0.0942746,8825.5
311986,3766780,0.0473473,0.0942528,8749.0
312786,3775610,0.0473369,0.0942347,8837.0
313586,3784454,0.0473267,0.094217,8914.5
314386,3793439,0.0473184,0.0942024,9122.5
315186,3802699,0.0473135,0.0941939,9173.0
315986,3811785,0.0473065,0.0941817,8895.0
316786,3820489,0.0472947,0.0941612,8946.0
317586,3829677,0.0472891,0.0941513,8889.0
318386,3838267,0.047276,0.0941286,8931.5
