"x","s0_mean","s0_std","s1_mean","s1_std","s2_mean","s2_std"
81.0,0.010589367020610878,0.00548513954789194,0.003812215419152254,0.0020484200544274482,0.00045632819283862645,0.0004071519223151604
82.0,0.010390151155857388,0.005371361163567798,0.0035662704303750996,0.0019125438670173408,0.00045255569566766474,0.00040457496615531796
83.0,0.010223385668810021,0.005297973013557905,0.003343642668203441,0.0017960686973602865,0.0004494434993506054,0.0004022283056970461
84.0,0.01011582100978869,0.005241822501576695,0.003152197511763053,0.001694000379498305,0.0004465231040311217,0.0003999226233935494
85.0,0.010014410026197747,0.00517590064632243,0.0029639620500627245,0.0015900369733972148,0.00044345393448869857,0.00039742493898248726
86.0,0.009883299094732123,0.005116519936257683,0.0027960767023266766,0.0014982299538381693,0.000441138747694864,0.0003955673473228563
87.0,0.009722557251448494,0.00503284803389719,0.0026046802318366877,0.0013971801448023516,0.00043818523299958095,0.0003930762783634412
88.0,0.009531878655011282,0.004944957642618281,0.0024348406925711707,0.0013053967543956325,0.00043587354748186364,0.00039104584628957685
89.0,0.009365482715910596,0.004853303663707493,0.0022753053897784743,0.001219326699045909,0.00043353388923322454,0.00038902810385668137
90.0,0.009189481740895336,0.00475957092092679,0.0021190461076149394,0.0011345449118244702,0.00043116637383596313,0.00038696569701150544
91.0,0.009025466889242705,0.004675036642925704,0.00198355338486242,0.0010606491099992086,0.0004290281371675791,0.0003850754702138878
92.0,0.008894658583910316,0.004618661028380106,0.001861189749778904,0.0009968067187105525,0.00042691926162326287,0.0003832193496575516
93.0,0.008674453227235965,0.004509017693364128,0.0017194970697066638,0.0009211558736690747,0.0004248223101500846,0.0003813819079597729
94.0,0.008486652807641224,0.004418493460068969,0.0015955982938656832,0.00085609337380382,0.00042284289558067677,0.00037966023481551646
95.0,0.008380708755564691,0.0043511537831838485,0.001510987662375512,0.0008102080542813739,0.00042103169870151834,0.000378078647231703
96.0,0.008119368948057192,0.004220221925775949,0.0013923330776002413,0.0007468082008949647,0.00041919416587955067,0.00037649121049529303
97.0,0.007931853189836508,0.004125454529071606,0.0012884634567294437,0.0006908689059226856,0.00041743831094547104,0.0003749635170225801
98.0,0.007732671482027867,0.004024011721058586,0.0012020348327701827,0.000645692349640202,0.00041577596293836604,0.0003735387521461356
99.0,0.007522612055323971,0.003910320236356387,0.0011221228145372538,0.0006060491683887736,0.0004141809814294688,0.0003721726156763726
100.0,0.007326698571077324,0.003800768894237,0.0010362338807380165,0.0005572736541257611,0.000412637434490947,0.00037085549353760614
101.0,0.0070799331908996685,0.0037004107537060398,0.0009685555330892432,0.0005276530906038362,0.0004111751490076591,0.0003696163600065445
102.0,0.006839634762261682,0.0035814140956857343,0.0008862270002645671,0.0004852009547556833,0.0004097582284350229,0.0003684249615096262
103.0,0.0066266468864848065,0.0034630233905967953,0.0008347837109183249,0.00046181833635042333,0.0004084222018774951,0.00036730159474461136
104.0,0.006388230949336443,0.003343584757114059,0.0007821226467603506,0.0004387430997331577,0.00040714166739157784,0.00036623455493630877
105.0,0.006133352312147029,0.0032097050101076883,0.0007188996190671162,0.00040773704552498057,0.00040591521951946664,0.00036521801851190186
106.0,0.005915633544776881,0.0030931098988245917,0.0006824051589781378,0.0003974081701046085,0.0004047539914167891,0.00036426063048155974
107.0,0.005688619510107173,0.0029827890454748045,0.0006396380478734031,0.00037852534011457046,0.0004036477936763098,0.00036335287429413107
108.0,0.005432981930768331,0.002843559473822712,0.0005974734057584018,0.00036045618763604813,0.000402597828755722,0.0003624963116361191
109.0,0.005190894835864508,0.002716696525160474,0.0005636076586256884,0.0003503445760417304,0.00040160442022574544,0.0003616907514027898
110.0,0.004995293805639867,0.0026148530779108604,0.0005461356326609695,0.0003521832311192808,0.0004006665155261615,0.00036093460726792294
111.0,0.004666903809178898,0.0024524506844964267,0.000508983326420601,0.00033932160880551757,0.0003997811631796039,0.0003602250068525654
112.0,0.00442589767086383,0.0023182781221736796,0.0004892525289420034,0.0003375731353219512,0.0003989498876596621,0.0003595625899713466
113.0,0.004173731326214603,0.0021951154783149177,0.00047130537545946207,0.00033804227075515705,0.00039817116132769,0.0003589458388591017
114.0,0.003895940873929464,0.002047777213744489,0.00045237999294774804,0.00033357385488871373,0.00039744433666256057,0.00035837377236988495
115.0,0.003621063705720822,0.001903971906106328,0.00043477080968569573,0.0003306416822767588,0.0003967690370194488,0.0003578456798535945
116.0,0.003377657050029976,0.0017733921967551555,0.0004227042705435445,0.0003329870982432929,0.000396144778967044,0.0003573607329174339
117.0,0.0031390045045356354,0.0016487235498708166,0.00041374355011798307,0.0003335049906085671,0.00039557110404579135,0.0003569181484604883
118.0,0.002877877123628042,0.001515097321031068,0.0004044249686290696,0.00033463868867498385,0.0003950476748079339,0.00035651722128683764
119.0,0.0025923216070460136,0.0013665756415695567,0.0003942083187529871,0.0003328687635381842,0.00039457419566019255,0.0003561573159570257
120.0,0.0023147338592996616,0.0012186838225227883,0.0003874827502228348,0.0003340990712782004,0.00039415038511133807,0.0003558377543771473
121.0,0.002048202512041399,0.0010798187349211222,0.00038183060476482144,0.00033555041023711267,0.0003937760862871145,0.00035555798488960986
122.0,0.0018032402882398187,0.0009570932057584785,0.00037840685005569865,0.00033780159477162533,0.0003934511755503219,0.00035531745640087246
123.0,0.001511690591714875,0.000805551593361776,0.0003732274763271136,0.000336935662434987,0.0003931755811042713,0.0003551156241766206
124.0,0.0012583918805266798,0.0006804346403355683,0.00037039324834711073,0.00033868559775186285,0.0003929493434787271,0.00035495200605145774
125.0,0.0010150706032826969,0.0005714465054662706,0.0003681205407945182,0.00033979018334649757,0.0003927725526212751,0.0003548260774604442
126.0,0.000777935881797403,0.00047784507317480195,0.00036603980682493246,0.0003401384428431153,0.0003926454081269737,0.0003547372783138122
127.0,0.000583190112605842,0.0004408773502692849,0.0003652340964710188,0.00034104978436612745,0.0003925683263077879,0.0003546849914287043
128.0,0.00047748481948838955,0.0004511789641224392,0.0003647665048074703,0.0003412702270773104,0.0003925421092737029,0.00035466814968582346
